Gene ID,Exemplar Accession,Exemplar gene,Exemplar species,Number of species,Number of genera,Average percentage of target recovered,Average recovered length,Fasta file url,Alignment file url,Tree file url
4989,Q9LDC0,FKBP42,Arabidopsis thaliana (Mouse-ear cress),9349,7473,81.1,527.6705,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4989.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4989.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4989.tree
4992,O82265,SCC3,Arabidopsis thaliana (Mouse-ear cress),9368,7493,77.1,1453.5572,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/4992.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/4992.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/4992.tree
5018,A0A5B6WVB0,csd,Gossypium australe,9373,7490,63.0,764.3162,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5018.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5018.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5018.tree
5032,T2FD46,RNP1,Nicotiana benthamiana,9286,7437,52.5,486.1904,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5032.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5032.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5032.tree
5034,A0A371ESM3,PPH,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9183,7354,73.0,533.1495,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5034.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5034.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5034.tree
5038,Q8GWR1,AAAS,Arabidopsis thaliana (Mouse-ear cress),9243,7405,56.6,394.527,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5038.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5038.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5038.tree
5064,A0A1D1Y1T1,Tceb1_5,Anthurium amnicola,7812,6315,72.8,166.1318,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5064.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5064.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5064.tree
5090,A0A314LAZ0,ISPF,Nicotiana attenuata (Coyote tobacco),9250,7402,86.2,429.6021,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5090.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5090.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5090.tree
5104,A0A1D1Z2D2,ratA_2,Anthurium amnicola,8050,6579,54.7,234.2737,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5104.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5104.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5104.tree
5116,A0A371GUZ5,DAP3,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9369,7495,76.5,787.3026,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5116.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5116.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5116.tree
5123,A0A371HEA6,SKIP31,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9155,7347,60.5,473.8718,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5123.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5123.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5123.tree
5131,A0A097P9U1,ABCI15,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis),9316,7451,77.1,702.5303,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5131.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5131.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5131.tree
5138,A0A438F3F9,PPAN_1,Vitis vinifera (Grape),9199,7359,66.4,457.9606,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5138.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5138.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5138.tree
5162,A0A1I9LR76,CRSH,Arabidopsis thaliana (Mouse-ear cress),9166,7375,73.7,1010.7178,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5162.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5162.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5162.tree
5163,O49048,VPS45,Arabidopsis thaliana (Mouse-ear cress),9386,7507,71.4,1183.665,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5163.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5163.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5163.tree
5168,A0A371EKH9,EXOSC7,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9285,7421,65.9,538.6644,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5168.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5168.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5168.tree
5177,,,,8363,6797,79.5,479.283,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5177.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5177.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5177.tree
5188,A0A4D9C4A3,RBMX2,Salvia splendens (Scarlet sage),9335,7468,81.1,484.4378,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5188.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5188.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5188.tree
5200,A0A314KZU6,RPL3B_1,Nicotiana attenuata (Coyote tobacco),9347,7472,78.2,446.9981,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5200.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5200.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5200.tree
5206,A0A5B6WXG8,rplM,Gossypium australe,9358,7487,79.9,438.0121,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5206.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5206.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5206.tree
5220,A0A4D9ASE3,ATPeAF1,Salvia splendens (Scarlet sage),9035,7249,67.3,390.5093,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5220.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5220.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5220.tree
5257,A0A4D8YQB2,SDO1,Salvia splendens (Scarlet sage),9365,7488,63.3,574.3562,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5257.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5257.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5257.tree
5260,A0A1D1Y335,fcf2_2,Anthurium amnicola,6737,5553,62.9,171.6432,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5260.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5260.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5260.tree
5264,A0A314KW12,CYP65,Nicotiana attenuata (Coyote tobacco),9388,7508,66.9,1021.5951,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5264.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5264.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5264.tree
5271,A0A1D1Z4R8,PDF1B_0,Anthurium amnicola,9085,7269,65.2,387.1904,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5271.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5271.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5271.tree
5273,A0A1D1XK90,EIF2D_0,Anthurium amnicola,9317,7453,59.8,899.8484,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5273.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5273.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5273.tree
5280,A0A3L6FX19,PIGA_0,Zea mays (Maize),9367,7494,78.5,892.9627,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5280.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5280.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5280.tree
5296,A0A3L6FYD1,IMDH2,Zea mays (Maize),9298,7439,59.5,570.8571,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5296.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5296.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5296.tree
5299,A0A1D1Z0A9,At3g04970_2,Anthurium amnicola,9178,7360,48.4,443.8835,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5299.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5299.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5299.tree
5304,Q9LPT6,OTU2,Arabidopsis thaliana (Mouse-ear cress),9141,7328,58.2,349.1849,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5304.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5304.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5304.tree
5318,A0A314KNB2,HIS3,Nicotiana attenuata (Coyote tobacco),9250,7415,68.3,417.1135,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5318.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5318.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5318.tree
5326,A0A4D9A8C9,PRPF4,Salvia splendens (Scarlet sage),9383,7504,78.1,1069.7749,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5326.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5326.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5326.tree
5328,Q9LTB9,At5g47090,Arabidopsis thaliana (Mouse-ear cress),9201,7397,83.2,406.2396,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5328.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5328.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5328.tree
5333,A0A3L6FWN4,ELP1,Zea mays (Maize),9299,7448,66.3,1448.3479,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5333.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5333.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5333.tree
5335,A0A1J6KBT3,WDR5B_7,Nicotiana attenuata (Coyote tobacco),9370,7493,47.3,626.8247,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5335.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5335.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5335.tree
5339,A0A317YEJ5,APUM24,Zea mays (Maize),8862,7150,42.1,720.2448,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5339.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5339.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5339.tree
5343,A0A4D8ZTU7,trmB,Salvia splendens (Scarlet sage),9353,7487,85.8,606.8713,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5343.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5343.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5343.tree
5347,A0A1I9LRE4,MEE67,Arabidopsis thaliana (Mouse-ear cress),8663,7034,89.9,196.8975,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5347.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5347.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5347.tree
5348,Q6NQP5,SLD5,Arabidopsis thaliana (Mouse-ear cress),7808,6379,61.2,312.8677,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5348.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5348.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5348.tree
5354,Q8LF41,TFB4,Arabidopsis thaliana (Mouse-ear cress),7786,6294,46.4,221.0062,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5354.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5354.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5354.tree
5355,A0A438H9I0,PYRD_4,Vitis vinifera (Grape),9201,7398,94.2,282.6893,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5355.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5355.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5355.tree
5357,A0A5B6VRU1,trappc4,Gossypium australe,9010,7245,79.4,276.6456,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5357.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5357.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5357.tree
5366,A0A251SNV7,ARGJ,Helianthus annuus (Common sunflower),9373,7492,53.2,650.6826,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5366.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5366.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5366.tree
5398,Q9C5V6,TOP6B,Arabidopsis thaliana (Mouse-ear cress),9345,7479,62.1,1118.8783,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5398.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5398.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5398.tree
5404,Q500V9,DPB2,Arabidopsis thaliana (Mouse-ear cress),9139,7343,53.7,611.499,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5404.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5404.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5404.tree
5406,A0A1D1YM86,UVH6_0,Anthurium amnicola,9382,7498,79.8,1177.5744,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5406.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5406.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5406.tree
5421,A0A1D1YWY0,At5g03900_1,Anthurium amnicola,9357,7482,53.5,667.3053,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5421.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5421.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5421.tree
5422,A0A4D8ZG86,GEP4,Salvia splendens (Scarlet sage),7708,6260,66.3,434.5006,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5422.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5422.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5422.tree
5426,F4I1S8,ELP2,Arabidopsis thaliana (Mouse-ear cress),9333,7468,81.5,1239.9662,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5426.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5426.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5426.tree
5427,B8Q892,SIP6,Oryza sativa subsp. indica (Rice),8685,6995,77.9,633.7649,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5427.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5427.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5427.tree
5428,A0A4D9BBV3,NDUFAF6,Salvia splendens (Scarlet sage),9023,7283,83.6,454.0987,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5428.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5428.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5428.tree
5430,A0A1D1XFV9,rsp1,Anthurium amnicola,9095,7320,77.4,368.0383,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5430.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5430.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5430.tree
5434,U5CZM6,NBP35,Amborella trichopoda,9359,7478,87.9,597.3796,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5434.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5434.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5434.tree
5449,A0A317Y3L9,cys12,Zea mays (Maize),9384,7506,85.3,919.0936,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5449.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5449.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5449.tree
5454,A0A371G7B3,truB,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9328,7467,68.4,799.6688,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5454.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5454.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5454.tree
5460,A0A2I0VTZ4,MND1,Dendrobium catenatum,8906,7205,59.1,237.1281,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5460.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5460.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5460.tree
5463,A0A371E4S9,VPS20.2,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9279,7426,83.1,389.9049,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5463.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5463.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5463.tree
5464,A0A314KIP2,NRPB3_1,Nicotiana attenuata (Coyote tobacco),9240,7417,52.1,445.7769,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5464.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5464.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5464.tree
5469,A0A5B6X3V2,lipB,Gossypium australe,9101,7342,76.3,423.6036,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5469.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5469.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5469.tree
5477,A0A438JM66,MRPL46,Vitis vinifera (Grape),9025,7236,62.2,387.4755,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5477.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5477.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5477.tree
5489,A0A3L6EXT7,Htatsf1,Zea mays (Maize),9304,7443,49.6,500.6551,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5489.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5489.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5489.tree
5502,A0A0E0JAE5,GCP1,Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),9347,7482,64.2,660.123,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5502.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5502.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5502.tree
5513,F4KA67,MXI10.2,Arabidopsis thaliana (Mouse-ear cress),8453,6837,50.8,389.6117,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5513.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5513.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5513.tree
5528,A0A1J6JV52,CSTF77,Nicotiana attenuata (Coyote tobacco),9310,7451,47.0,647.952,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5528.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5528.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5528.tree
